Query with VIN,Answer
"Vehicle VIN: 48296089, Query: How much does the Bimini Top Cost?",$500.00
"Vehicle VIN: 61981724, Query: What is the price of the Bimini Top?","$1,200.00"
"Vehicle VIN: 97980021, Query: How much does the Mooring Cover cost?",$350.00
"Vehicle VIN: 69830599, Query: What is the price of the Mooring Cover?",$700.00
"Vehicle VIN: 76998315, Query: How much does the Seat Cover Set cost?",$150.00
"Vehicle VIN: 77542776, Query: What is the price of the Seat Cover Set?",$300.00
"Vehicle VIN: 64594924, Query: How much does the Bimini Boot cost?",$50.00
"Vehicle VIN: 13971125, Query: What is the price of the Bimini Boot?",$90.00
"Vehicle VIN: 61084070, Query: How much does the Boat Cover Support Pole cost?",$20.00
"Vehicle VIN: 84301575, Query: What is the price of the Snap Fastener Kit?",$35.00
"Vehicle VIN: 90324280, Query: How much does the Bilge Pump cost?",$40.00
"Vehicle VIN: 69152860, Query: What is the price of the Bilge Pump?",$80.00
"Vehicle VIN: 38241353, Query: How much does the Fuse Block cost?",$30.00
"Vehicle VIN: 95347445, Query: What is the price of the Fuse Block?",$60.00
"Vehicle VIN: 23535033, Query: How much do the Navigation Lights cost?",$75.00
"Vehicle VIN: 25728344, Query: What is the price of the Navigation Lights?",$150.00
"Vehicle VIN: 31448407, Query: How much do the Docking Lights cost?",$90.00
"Vehicle VIN: 40647828, Query: What is the price of the Docking Lights?",$200.00
"Vehicle VIN: 59348352, Query: How much do the Courtesy Lights cost?",$25.00
"Vehicle VIN: 46432749, Query: What is the price of the Courtesy Lights?",$50.00
"Vehicle VIN: 43748146, Query: How much does the Battery cost?",$150.00
"Vehicle VIN: 42921894, Query: What is the price of the Battery?",$180.00
"Vehicle VIN: 68171104, Query: How much does the Battery cost?",$800.00
"Vehicle VIN: 95417687, Query: What is the price of the Battery Switch?",$40.00
"Vehicle VIN: 59278750, Query: How much does the Battery Switch cost?",$80.00
"Vehicle VIN: 67986125, Query: What is the price of the Shore Power Inlet?",$150.00
"Vehicle VIN: 78958980, Query: How much does the Battery Charger cost?",$300.00
"Vehicle VIN: 97436811, Query: What is the price of the Outboard Engine?","$12,000.00"
"Vehicle VIN: 97598415, Query: How much does the Outboard Engine cost?","$25,000.00"
"Vehicle VIN: 13286231, Query: What is the price of the Propeller?",$150.00
"Vehicle VIN: 70360350, Query: How much does the Propeller cost?",$400.00
"Vehicle VIN: 43250129, Query: What is the price of the Fuel Tank?",$100.00
"Vehicle VIN: 28302821, Query: How much does the Fuel Tank cost?",$500.00
"Vehicle VIN: 57097370, Query: What is the price of the Fuel Line Assembly?",$50.00
"Vehicle VIN: 24727468, Query: How much does the Fuel Filter/Water Separator cost?",$40.00
"Vehicle VIN: 16171693, Query: What is the price of the Trolling Motor?",$800.00
"Vehicle VIN: 79351715, Query: How much does the Power Pole Shallow Water Anchor cost?","$1,800.00"
"Vehicle VIN: 41116574, Query: What is the price of the Life Jacket?",$30.00
"Vehicle VIN: 49791700, Query: How much does the Life Jacket cost?",$70.00
"Vehicle VIN: 60796804, Query: What is the price of the Throwable Flotation Device?",$25.00
"Vehicle VIN: 57466099, Query: How much does the Fire Extinguisher cost?",$45.00
"Vehicle VIN: 11752460, Query: What is the price of the Horn?",$15.00
"Vehicle VIN: 23857881, Query: How much does the Horn cost?",$80.00
"Vehicle VIN: 95706024, Query: What is the price of the First Aid Kit?",$35.00
"Vehicle VIN: 20605021, Query: How much does the First Aid Kit cost?",$100.00
"Vehicle VIN: 80363813, Query: What is the price of the Emergency Paddle?",$25.00
